Passport,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE
MWI,e-visa,visa on arrival,e-visa,visa on arrival,e-visa,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,e-visa,90,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,90,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa free,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,visa on arrival,90,e-visa,90,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,e-visa,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,90,visa on arrival,90,visa on arrival,visa on arrival,e-visa,90,90,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,90,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,-1,90,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,90,visa on arrival,90,90,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,e-visa,90,90,90,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,90,visa on arrival,e-visa,visa on arrival,e-visa,90,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,90,visa on arrival,visa on arrival,e-visa,visa on arrival,90,e-visa,e-visa,e-visa,90,90,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,90,90
MYS,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,e-visa,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
MDV,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,-1,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival
MLI,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,-1,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
MLT,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,90,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,visa free,visa free,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,visa free,90,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,90,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,90,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,visa free,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban
MHL,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
MRT,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,-1,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival
MUS,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
MEX,visa required,visa required,visa required,180,visa required,visa required,180,visa required,180,180,visa required,180,visa required,visa required,180,visa required,180,180,visa required,visa required,visa required,visa required,visa required,180,visa required,180,visa required,visa required,visa required,visa required,180,visa required,visa required,visa required,180,visa required,180,visa required,visa required,visa required,180,visa required,180,visa required,180,180,180,visa required,visa required,visa required,180,visa required,visa required,visa required,visa required,180,visa required,visa required,visa required,180,120,visa required,visa required,visa required,180,visa required,180,visa required,visa required,visa required,visa required,visa required,visa required,visa required,180,180,180,visa required,visa required,visa required,visa required,180,180,180,180,180,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,180,visa required,visa required,visa required,visa required,180,180,180,180,visa required,visa required,180,visa required,visa required,180,180,visa required,visa required,-1,180,visa required,180,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,180,180,visa required,visa required,visa required,visa required,visa required,180,visa required,visa required,180,visa required,180,visa required,180,180,visa required,180,180,visa required,180,e-visa,visa required,visa required,visa required,visa required,180,visa required,visa required,visa required,visa required,visa required,visa required,180,180,180,visa required,visa required,visa required,180,visa required,180,visa required,visa required,visa required,visa required,180,180,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,180,visa required,e-visa,visa required,visa required,visa required,e-visa,180,180,180,180,visa required,visa required,visa required,180,visa required,visa required,visa required,visa required
FSM,30,30,30,30,30,30,30,30,30,90,30,30,30,30,30,30,90,30,30,30,30,30,30,30,30,90,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,90,30,90,90,90,30,30,30,30,30,30,30,30,90,30,30,30,90,90,30,30,30,90,30,90,30,30,30,30,30,30,30,30,90,90,30,30,30,30,30,30,90,30,30,30,30,30,30,30,30,30,30,90,30,30,30,30,90,90,90,30,30,30,30,30,30,90,360,30,30,30,-1,30,30,30,30,30,30,30,30,30,30,90,30,30,30,30,30,30,90,90,30,360,30,30,30,30,30,30,90,90,30,90,30,30,30,30,30,30,30,30,30,30,30,30,30,90,90,30,30,30,30,30,90,30,30,30,30,90,90,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
MDA,e-visa,90,e-visa,90,e-visa,90,90,90,90,90,90,90,e-visa,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,e-visa,90,e-visa,e-visa,e-visa,90,e-visa,90,visa free,90,90,90,e-visa,90,e-visa,90,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,90,90,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,90,90,90,90,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,90,e-visa,90,e-visa,90,e-visa,e-visa,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,90,90,90,e-visa,e-visa,90,e-visa,e-visa,90,90,e-visa,90,90,90,-1,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,90,e-visa,90,e-visa,90,90,e-visa,90,90,e-visa,90,90,e-visa,90,90,90,90,e-visa,e-visa,e-visa,90,90,e-visa,90,90,90,90,e-visa,e-visa,90,e-visa,90,e-visa,90,visa required,e-visa,90,90,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,90,90,e-visa,90,e-visa,90,e-visa,90,90,90,90,90,90,90,90,90,e-visa,e-visa,visa required,visa required
MCO,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,90,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,90,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,visa free,visa free,covid ban,covid ban,covid ban,90,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban
MNG,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa on arrival,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
MNE,covid ban,90,covid ban,90,covid ban,90,covid ban,covid ban,90,90,covid ban,90,covid ban,covid ban,90,30,90,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,90,90,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,90,30,90,90,90,covid ban,90,covid ban,covid ban,covid ban,90,covid ban,covid ban,90,covid ban,covid ban,covid ban,90,90,covid ban,covid ban,90,90,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,90,covid ban,covid ban,covid ban,covid ban,90,90,90,covid ban,90,covid ban,covid ban,covid ban,covid ban,30,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,90,90,90,covid ban,covid ban,covid ban,90,covid ban,covid ban,90,covid ban,covid ban,90,90,covid ban,covid ban,90,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,90,90,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,90,90,covid ban,90,covid ban,covid ban,90,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,90,90,90,covid ban,covid ban,covid ban,90,covid ban,90,covid ban,90,covid ban,covid ban,90,90,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,90,covid ban,90,covid ban,covid ban,covid ban,90,90,90,covid ban,90,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban
