Passport,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE
KEN,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,-1,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,30,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,90,90,90,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,90,e-visa,30,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,90
KIR,visa required,visa required,visa required,visa required,visa required,90,90,visa required,90,90,visa required,90,visa required,90,90,visa required,90,90,visa required,visa required,90,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,90,90,visa required,90,90,visa required,visa required,90,90,visa required,90,90,90,90,90,visa required,90,90,90,90,90,visa required,visa required,90,90,90,90,90,90,90,90,visa required,visa required,90,90,90,90,90,visa required,visa required,90,-1,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,90,visa required,90,90,visa required,90,90,90,visa required,visa required,90,visa required,90,90,90,visa required,visa required,visa required,visa required,90,90,visa required,90,90,visa required,90,90,visa required,visa required,90,visa required,visa required,90,visa required,visa required,90,visa required,90,90,90,90,90,90,90,90,90,90,90,90,90,90,visa required,visa required,90,visa required,visa required,90,90,90,90,90,90,visa required,90,90,visa required,90,90,90,visa required,90,90,90,visa required,visa required,visa required,90,90,90,90,90,90,visa required,visa required,visa required,90,90,90,90,90,90,90,visa required,90,visa required,90,visa required,visa required,90,visa required
XKX,visa required,90,visa required,90,visa required,90,90,visa required,90,90,visa required,90,90,visa required,90,visa required,90,90,visa required,visa required,visa required,visa required,90,90,90,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,90,90,90,visa required,90,visa required,visa required,visa required,90,visa required,visa required,90,90,visa required,90,90,90,visa required,visa required,visa required,90,visa required,90,90,90,visa required,visa required,90,visa required,90,90,90,90,visa required,visa required,visa required,visa required,90,90,90,visa required,90,90,visa required,visa required,90,-1,90,visa required,visa required,90,visa required,90,visa required,visa required,90,90,90,90,visa required,90,90,90,visa required,90,90,visa required,90,90,90,visa required,90,visa required,90,visa required,visa required,visa required,90,90,visa required,90,90,visa required,visa required,visa required,visa required,90,90,90,visa required,90,visa required,90,90,90,visa required,visa required,90,90,90,90,visa required,visa required,90,90,90,90,90,90,visa required,90,90,visa required,90,90,90,90,visa required,90,90,visa required,90,visa required,90,visa required,visa required,90,90,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,90,visa required,90,visa required,90,90,90,90,90,visa required,90,90,90,visa required,visa required,visa required,visa required
KWT,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,visa required,visa free,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,-1,visa required,visa on arrival,visa on arrival,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa free,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa free,visa required,visa on arrival,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa free,visa on arrival,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required
KGZ,e-visa,60,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,visa free,60,60,visa free,e-visa,60,e-visa,e-visa,visa free,60,e-visa,e-visa,e-visa,e-visa,60,e-visa,60,60,60,e-visa,e-visa,e-visa,e-visa,60,e-visa,e-visa,e-visa,60,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,60,visa free,60,60,60,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,60,e-visa,e-visa,e-visa,60,60,e-visa,e-visa,visa free,60,e-visa,60,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,60,60,e-visa,visa on arrival,e-visa,e-visa,60,60,60,e-visa,60,e-visa,visa free,e-visa,e-visa,visa required,60,-1,e-visa,60,e-visa,e-visa,e-visa,e-visa,60,60,60,e-visa,e-visa,e-visa,30,e-visa,e-visa,60,e-visa,e-visa,e-visa,60,e-visa,visa free,60,90,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,60,60,e-visa,e-visa,e-visa,visa free,60,60,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,60,60,60,60,visa free,e-visa,e-visa,e-visa,e-visa,60,e-visa,60,e-visa,90,e-visa,e-visa,60,60,60,e-visa,e-visa,visa on arrival,60,e-visa,60,e-visa,e-visa,e-visa,e-visa,60,60,e-visa,e-visa,no admission,e-visa,60,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,e-visa,e-visa,90,60,60,60,e-visa,60,e-visa,60,visa on arrival,60,e-visa,e-visa,e-visa
LAO,visa required,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,14,visa on arrival,visa on arrival,visa required,30,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,15,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,-1,visa on arrival,visa on arrival,visa required,visa required,visa required,visa on arrival,visa on arrival,15,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa required,14,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa required,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,15,visa required,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa required,visa required
LVA,visa required,90,visa required,90,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
LBN,visa required,visa required,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,180,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,visa on arrival,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,no admission,visa on arrival,visa required,visa on arrival,180,visa required,visa required,visa required,visa required,180,visa on arrival,visa required,visa on arrival,-1,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa on arrival,visa required,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa on arrival,180,visa required,visa required,visa required,visa on arrival,visa required,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,180,visa on arrival,visa on arrival,visa required,visa on arrival,visa required,visa on arrival,visa on arrival,visa required,180,visa required,visa on arrival,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,180,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required
LSO,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,visa free,visa free,e-visa,90,e-visa,visa required,90,e-visa,14,90,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,90,e-visa,e-visa,e-visa,e-visa,visa required,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,14,14,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,visa free,14,14,e-visa,90,e-visa,14,visa free,e-visa,90,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,14,e-visa,e-visa,e-visa,e-visa,90,90,14,90,90,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,-1,e-visa,e-visa,e-visa,e-visa,14,e-visa,e-visa,90,90,90,e-visa,visa required,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa required,e-visa,90,90,e-visa,14,14,e-visa,e-visa,e-visa,e-visa,e-visa,14,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,14,e-visa,e-visa,e-visa,e-visa,90,90,90,90,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,90,e-visa,visa free,14,e-visa,14,visa free,90,e-visa,e-visa,14,14,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,visa free,visa free,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,visa free
LBR,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
LBY,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,no admission,visa required,visa required,no admission,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,no admission,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,no admission,visa required,visa required,visa required,no admission,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,no admission,visa required,visa required
LIE,visa required,90,visa required,90,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,-1,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
LTU,visa required,90,visa required,90,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,-1,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa free,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
LUX,visa required,90,visa required,90,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa free,-1,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
MAC,visa on arrival,90,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,90,30,90,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,30,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,90,14,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,90,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,90,90,90,visa on arrival,90,30,30,90,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa free,90,90,30,30,visa on arrival,visa on arrival,90,90,90,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,90,90,90,-1,visa on arrival,visa on arrival,30,visa on arrival,90,90,visa on arrival,visa on arrival,90,90,visa on arrival,90,30,90,90,90,visa on arrival,visa on arrival,30,visa on arrival,visa required,90,90,visa on arrival,visa on arrival,visa required,visa on arrival,90,90,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,90,90,visa on arrival,90,30,visa on arrival,visa on arrival,visa on arrival,30,30,visa on arrival,visa on arrival,visa on arrival,90,30,visa on arrival,30,90,90,visa on arrival,visa on arrival,30,90,visa on arrival,90,visa required,visa on arrival,visa on arrival,visa on arrival,90,90,visa on arrival,visa free,visa on arrival,90,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,180,30,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival
